Region,Town,x,y,MarkerType
Heartlands,18thSideroad,0.563574,0.079199,Minor
DeadLands,AbandonedWard,0.40659,0.497347,Major
AllodsBight,ACaptainsRepose,0.593273,0.835592,Minor
ShackledChasm,ACarelessNet,0.43235,0.870151,Minor
StemaLanding,AciesOverlook,0.540259,0.191097,Major
UmbralWildwood,AdzeCrossroads,0.357383,0.386527,Minor
Sableport,AeyrieBay,0.25766,0.58153,Minor
ViperPit,AfricsApproach,0.260432,0.674248,Minor
StemaLanding,AlchimioEstate,0.380999,0.821058,Major
AllodsBight,AllodsChildren,0.11191,0.414177,Minor
MorgensCrossing,Allsight,0.58312,0.148395,Major
UmbralWildwood,Amethyst,0.81785,0.388845,Major
TempestIsland,Anchor,0.296044,0.332678,Minor
ShackledChasm,ANewSpring,0.655313,0.26314,Minor
FarranacCoast,ApollosLanding,0.431493,0.579765,Minor
FishermansRow,Arcadia,0.389209,0.730954,Major
Godcrofts,Argosa,0.742941,0.443854,Major
Origin,Arise,0.44632,0.423053,Major
AshFields,Ashtown,0.514317,0.552515,Major
Terminus,Aspisa,0.461338,0.926056,Minor
Acrithia,AsterosSpear,0.629271,0.186652,Minor
UmbralWildwood,AtroposFate,0.573003,0.784334,Major
HowlCounty,AustriacaReservoir,0.503034,0.547838,Minor
ViperPit,AustriacaRiver,0.489259,0.853516,Minor
ShackledChasm,AutumnPyres,0.510382,0.326411,Minor
Kalokai,BaccaeRidge,0.450518,0.724912,Major
EndlessShore,BalorsCrown,0.672032,0.285197,Minor
Godcrofts,BarrellersWay,0.663369,0.469102,Minor
Oarbreaker,Barrenson,0.247671,0.220844,Minor
Sableport,Barronhome,0.604631,0.708866,Major
Heartlands,Barronshire,0.304043,0.529303,Minor
Heartlands,Barronswall,0.393722,0.409423,Major
Heartlands,BarronyRanch,0.373348,0.109838,Major
Heartlands,BarronyRoad,0.490231,0.201867,Minor
WeatheredExpanse,Barrowsfield,0.430673,0.465398,Minor
StemaLanding,BaseFerveret,0.643591,0.643509,Major
StemaLanding,BaseSagitta,0.824706,0.557183,Major
BasinSionnach,Basinhome,0.353483,0.785805,Major
BasinSionnach,BasinSionnach,0.371808,0.36804,Minor
LochMor,BastardsBlade,0.210803,0.808788,Minor
MorgensCrossing,BastardsBlock,0.607322,0.337821,Major
EndlessShore,BatteredLanding,0.305517,0.550113,Minor
Terminus,BayoftheWard,0.528937,0.352762,Minor
AllodsBight,BelayingTrace,0.246404,0.561514,Major
Clahstra,BewailingFort,0.186248,0.475339,Major
FishermansRow,BidentCrossroads,0.434503,0.61582,Minor
ReaversPass,BillhookReach,0.738634,0.284794,Minor
ReaversPass,BinnaclePitch,0.207949,0.778828,Minor
DeadLands,BitingTarn,0.821872,0.705377,Minor
NevishLine,BlackburnCanal,0.377094,0.82665,Minor
NevishLine,BlackcoatWay,0.348187,0.692818,Major
KingsCage,BlackguardsWood,0.686849,0.170174,Minor
ReaversPass,BlackjackJunction,0.442427,0.514542,Minor
LinnMercy,Blackroad,0.465167,0.164749,Minor
ViperPit,Blackthroat,0.382738,0.828344,Major
TempestIsland,Blackwatch,0.849815,0.407869,Major
FishermansRow,BlackWell,0.388496,0.306616,Major
Kalokai,Bleary,0.210604,0.5777,Minor
MarbanHollow,BleatingPlateau,0.270353,0.590818,Minor
NevishLine,BlindingStones,0.391207,0.207428,Major
ReaversPass,BlissfinBeach,0.828378,0.371672,Minor
KingsCage,Bloodcroft,0.493532,0.784494,Minor
Terminus,BloodyPalmFort,0.857413,0.523064,Major
AllodsBight,BlunderBight,0.691623,0.127541,Minor
DrownedVale,Bootnap,0.808421,0.55828,Major
DeadLands,BorderConcourse,0.815736,0.390166,Minor
TheMoors,Borderlane,0.643059,0.069356,Major
DeadLands,BorderThicket,0.575372,0.324471,Minor
EndlessShore,BrackishPoint,0.303,0.154775,Major
ClansheadValley,BrambleField,0.391816,0.538869,Minor
StlicanShelf,BreakerTown,0.353313,0.449166,Major
ReaversPass,Breakwater,0.730338,0.49483,Major
AllodsBight,BreathofCetus,0.696068,0.641131,Minor
StlicanShelf,Briar,0.328787,0.227301,Major
DeadLands,BrineGlen,0.725618,0.722024,Major
ReachingTrail,Brodytown,0.444128,0.322774,Major
StlicanShelf,BrokenZephyr,0.40674,0.871262,Minor
Oarbreaker,Bronze,0.668158,0.488805,Minor
MarbanHollow,BubbleBasin,0.383556,0.424927,Minor
Stonecradle,BucklerSound,0.510594,0.514668,Major
StemaLanding,BurnishBeach,0.657488,0.325498,Minor
FarranacCoast,CacklingStrand,0.370538,0.191829,Minor
Origin,Cado,0.251254,0.538169,Minor
Heartlands,Cageroad,0.083903,0.581694,Minor
DeadLands,CallahansBelt,0.658508,0.310601,Minor
DeadLands,CallahansBoot,0.547569,0.490777,Major
CallahansPassage,CallahansEye,0.308643,0.262243,Minor
DeadLands,CallahansGate,0.624833,0.110333,Major
MorgensCrossing,CallumsDescent,0.338396,0.784602,Major
CallumsCape,CallumsKeep,0.398626,0.235185,Major
SpeakingWoods,Calmland,0.830243,0.295542,Minor
StlicanShelf,Calving,0.833345,0.54851,Minor
ReachingTrail,CampEos,0.752074,0.703749,Minor
CallumsCape,CampHollow,0.751298,0.282986,Major
AshFields,CampOmega,0.709697,0.12712,Major
Acrithia,CampOmicron,0.714467,0.123508,Major
GreatMarch,CampSenti,0.374557,0.362185,Major
Kalokai,CampTau,0.687057,0.594143,Major
RedRiver,CampUpsilon,0.265646,0.270703,Major
Westgate,CandleHills,0.380948,0.876076,Minor
RedRiver,Cannonsmoke,0.442205,0.644736,Major
ReaversPass,CapeBalderstone,0.221601,0.313153,Minor
TheFingers,CaptainsDread,0.698551,0.246778,Major
ReachingTrail,Caragtais,0.450571,0.529406,Minor
DeadLands,CarpalTrail,0.291422,0.419198,Minor
FarranacCoast,CarrionFields,0.616623,0.457854,Minor
Oarbreaker,Castor,0.478963,0.099016,Minor
Oarbreaker,CatStep,0.674429,0.748893,Minor
Westgate,CattleMarch,0.432009,0.178799,Minor
TheFingers,Cavitatis,0.435232,0.611993,Minor
KingsCage,CelesThicket,0.397792,0.92764,Minor
DeadLands,CemetaryJunction,0.324332,0.579393,Minor
DeadLands,CemetaryLane,0.382476,0.658563,Minor
Westgate,CeoHighlands,0.674248,0.904763,Minor
Terminus,CerberusWake,0.262875,0.730385,Major
CallahansPassage,ChapelAccess,0.867008,0.523187,Minor
LochMor,ChatteringPrairie,0.645829,0.306503,Minor
MarbanHollow,CheckpointBua,0.637369,0.417994,Major
HowlCounty,CheckpointTitim,0.506001,0.412852,Minor
Sableport,Cinderwick,0.470708,0.288584,Major
TempestIsland,CirrisValve,0.713055,0.48504,Minor
Kalokai,ClarityMeadow,0.697671,0.777257,Minor
ReaversPass,ClayCoffer,0.668931,0.80417,Major
RedRiver,Climb,0.709697,0.14354,Major
UmbralWildwood,ClothosRefuge,0.613376,0.323984,Major
DrownedVale,CoaldrifterStead,0.662318,0.822847,Major
Westgate,Coasthill,0.749296,0.523273,Minor
Westgate,CobbersLane,0.818188,0.304837,Minor
AshFields,Cometa,0.278395,0.224475,Major
KingsCage,Concubine,0.406524,0.12856,Minor
DeadLands,CoracoidFootpath,0.107194,0.40022,Minor
FarranacCoast,CoraLushlands,0.545856,0.867111,Minor
FarranacCoast,CormacBeach,0.472738,0.78348,Minor
CallahansPassage,Cragsfield,0.569036,0.198985,Minor
CallahansPassage,Cragsroad,0.446065,0.353106,Minor
CallahansPassage,Cragstown,0.516691,0.139769,Major
Heartlands,CraterBasin,0.277874,0.204303,Minor
Sableport,CreepingDrought,0.552408,0.476494,Minor
MorgensCrossing,CrimsonThread,0.395414,0.23942,Minor
WeatheredExpanse,CrowsNest,0.27001,0.522445,Major
DeadLands,CrumblingPassage,0.417157,0.094844,Minor
CallahansPassage,CrumblingPost,0.353859,0.724882,Major
StlicanShelf,CrystalfleetInlet,0.449507,0.624036,Minor
BasinSionnach,CunningCross,0.693631,0.22195,Minor
SpeakingWoods,CursedCourt,0.491681,0.44266,Minor
BasinSionnach,CuttailStation,0.616551,0.320461,Major
Stonecradle,DaihbiPoint,0.301761,0.116188,Minor
GreatMarch,DaltonMeadow,0.099308,0.64004,Minor
FishermansRow,DankanaPost,0.289137,0.615475,Major
EndlessShore,DannanCoast,0.537924,0.100876,Minor
ViperPit,Deadsteps,0.54282,0.211018,Minor
EndlessShore,DeargsFang,0.59473,0.366441,Minor
MarbanHollow,DeepfleetValley,0.597132,0.658769,Minor
Heartlands,DeeplawPost,0.243156,0.434378,Major
GreatMarch,DendroField,0.77124,0.461526,Major
KingsCage,DenofKnaves,0.712924,0.320825,Major
Godcrofts,DenofThieves,0.2886,0.284991,Minor
StlicanShelf,DesiccatedFront,0.480457,0.46486,Minor
StemaLanding,DesolationBeach,0.592309,0.539223,Minor
StlicanShelf,DiarmaidsPlan,0.294835,0.055759,Minor
Terminus,Dogbone,0.209448,0.424464,Minor
Origin,Dormio,0.810775,0.59096,Major
UmbralWildwood,Dredgefield,0.784004,0.856312,Minor
Acrithia,DuellingKegs,0.323379,0.712205,Minor
ReachingTrail,DuffysFarm,0.271932,0.568079,Minor
ReachingTrail,DugansApproach,0.692271,0.153867,Minor
WeatheredExpanse,DullahansCrest,0.149207,0.616904,Minor
ReachingTrail,Dwyersfield,0.208729,0.267135,Minor
ReachingTrail,Dwyerstown,0.150619,0.363913,Major
WeatheredExpanse,Eapoe,0.440872,0.671814,Minor
