Stockpile Title	Stockpile Name	Structure Type	Quantity	Name	Crated?	Per Crate	Total	Description	CodeName
CallumsKeep		Seaport	20	Soldier Supplies	TRUE	10	200	A standard issue set of supplies for foot soldiers. Bases must be stockpiled with Soldier Supplies in order for players to spawn.	SoldierSupplies
CallumsKeep		Seaport	18	Maintenance Supplies	TRUE	100	1800	Supplies for maintaining structures. Store at Bases or Maintenance Tunnels to prevent decay on surrounding structures.	MaintenanceSupplies
CallumsKeep		Seaport	94	Physician’s Jacket	TRUE	15	1410	Physicians in the Warden army are unmatched and this uniform has a plethora of pockets and bags designed to carry and deploy first aid gear easily.	MedicUniformW
CallumsKeep		Seaport	72	Basic Materials	TRUE	100	7200	Resource used for building basic structures and producing items.	Cloth
CallumsKeep		Seaport	51	Heavy Explosive Powder	TRUE	30	1530	Resource used for producing heavy explosive weapons.	HeavyExplosive
CallumsKeep		Seaport	47	Gunner’s Breastplate	TRUE	5	235	Repurposed from ancient wars, these armour plates are highly effective at stopping enemy small arms fire. That protection comes at the cost of weight, and the wearer will feel quite restricted and encumbered.	ArmourUniformW
CallumsKeep		Seaport	39	20mm	TRUE	10	390	Standard ammunition for anti-tank rifles.	ATRifleAmmo
CallumsKeep		Seaport	32	Outrider’s Mantle	TRUE	15	480	The Warden army relies on outriders to provide and recieve vital intelligence. Their gear is sturdy and well-suited for extended operations in rugged terrain and inclement weather.	ScoutUniformW
CallumsKeep		Seaport	31	12.7mm	TRUE	20	620	Standard ammunition for machine guns.	MGAmmo
CallumsKeep		Seaport	29	The Ospreay	TRUE	20	580	A rifle attachment that fires grenades with pneumatic force. Along with specialized grenades, it can launch standard grenades.	GrenadeAdapter
CallumsKeep		Seaport	25	Fiddler Submachine Gun Model 868	TRUE	20	500	The Fiddler Submachine Gun is a widely used urban combat weapon. Its high rate of fire and compact frame make it ideal for close-quarters engagements.	SMGW
CallumsKeep		Seaport	23	20 Neville Anti-Tank Rifle	TRUE	3	69	The Neville is unmatched in its versatility as a portable, magazine-based anti-armour firearm.	ATRifleW
CallumsKeep		Seaport	21	9mm	TRUE	40	840	Standard ammunition for submachine guns.	SMGAmmo
CallumsKeep		Seaport	21	Gas Mask Filter	TRUE	20	420	When attached to a Gas Mask, this filter provides fresh air to the wearer.	GasMaskFilter
CallumsKeep		Seaport	19	Malone Ratcatcher MK.1	TRUE	5	95	Early iterations of this machinegun were built to be emplaced in bunkers and on the decks of lightly armed warships, the Ratcatcher is Harvey Malone’s first freely mountable infantry weapon designed for field use. Just like its predecessors, this heavy weapon suppresses enemy soldiers with unmatched efficiency.	MGTW
CallumsKeep		Seaport	18	Barbed Wire	TRUE	5	90	Used to construct Barbed Wire defenses.	BarbedWireMaterials
CallumsKeep		Seaport	18	Malone MK.2	TRUE	5	90	This heavy machine gun is bulky enough to require a steady surface to maintain stability. The Malone series of machine guns are unmatched defenders on the battlefield.	MGW
CallumsKeep		Seaport	18	No.2 Loughcaster	TRUE	20	360	Standard-issue Warden rifle. This bolt-action firearm is as robust as they come and has seen over a century of use on the battlefield.	RifleW
