Stockpile Title	Stockpile Name	Structure Type	Quantity	Name	Crated?	Per Crate	Total	Description	CodeName
TheManacle		Seaport	61	Soldier Supplies	TRUE	10	610	A standard issue set of supplies for foot soldiers. Bases must be stockpiled with Soldier Supplies in order for players to spawn.	SoldierSupplies
TheManacle		Seaport	7	Maintenance Supplies	TRUE	100	700	Supplies for maintaining structures. Store at Bases or Maintenance Tunnels to prevent decay on surrounding structures.	MaintenanceSupplies
TheManacle		Seaport	120	Basic Materials	TRUE	100	12000	Resource used for building basic structures and producing items.	Cloth
TheManacle		Seaport	100	20mm	TRUE	10	1000	Standard ammunition for anti-tank rifles.	ATRifleAmmo
TheManacle		Seaport	72	9mm	TRUE	40	2880	Standard ammunition for submachine guns.	SMGAmmo
TheManacle		Seaport	68	Blakerow 871	TRUE	20	1360	The Blakerow is a carbine with a high rate of fire compared to its bolt-action predecessor. This increased fire rate does come at the cost of innate stopping power; however, its versatility and lightweight frame more than make up for any perceived shortcomings.	RifleLightW
TheManacle		Seaport	43	Mammon 91-b	TRUE	20	860	This densely packed, high-explosive grenade is designed to damage structures and vehicles.	HEGrenade
TheManacle		Seaport	40	7.92mm	TRUE	30	1200	Standard ammunition for Storm Rifles and Armoured Cars.	AssaultRifleAmmo
TheManacle		Seaport	39	12.7mm	TRUE	20	780	Standard ammunition for machine guns.	MGAmmo
TheManacle		Seaport	30	Fiddler Submachine Gun Model 868	TRUE	20	600	The Fiddler Submachine Gun is a widely used urban combat weapon. Its high rate of fire and compact frame make it ideal for close-quarters engagements.	SMGW
TheManacle		Seaport	26	Gravel	TRUE	20	520	Resource used for building Roads and Foundations.	GroundMaterials
TheManacle		Seaport	22	Bandages	TRUE	50	1100	Used to stem bleeding.	Bandages
TheManacle		Seaport	22	First Aid Kit	TRUE	10	220	Used by medics to heal other soldiers.	FirstAidKit
TheManacle		Seaport	18	Green Ash Grenade	TRUE	10	180	Green Ash is an asphyxiating toxin. Inhaling it without protection will result in a quick death. Be sure to wear a gas mask with fresh filters when handling Green Ash.	GreenAsh
TheManacle		Seaport	18	7.62mm	TRUE	40	720	Standard ammunition for rifles.	RifleAmmo
TheManacle		Seaport	18	Sampo Auto-Rifle 77	TRUE	20	360	The precursor to the storm rifle, the Sampo Auto-Rifle, is a mastercraft of its day. With a single shot and automatic fire mode, this versatile rifle may not reach the fire rates of automatic weapons but more than makes up for it with utility.	RifleAutomaticW
TheManacle		Seaport	17	20 Neville Anti-Tank Rifle	TRUE	3	51	The Neville is unmatched in its versatility as a portable, magazine-based anti-armour firearm.	ATRifleW
TheManacle		Seaport	16	Gas Mask Filter	TRUE	20	320	When attached to a Gas Mask, this filter provides fresh air to the wearer.	GasMaskFilter
TheManacle		Seaport	14	30mm	TRUE	20	280	Standard explosive shell used with certain small vehicles and infantry weapons.	MiniTankAmmo
TheManacle		Seaport	13	Metal Beam	TRUE	5	65	Used to construct Metal Beam defenses.	MetalBeamMaterials
TheManacle		Seaport	13	Radio	TRUE	5	65	Receives map intelligence updates	Radio
TheManacle		Seaport	13	No.1 “The Liar” Submachinegun	TRUE	20	260	This unique, heavy-duty submachine gun is not very useful on the run, but with careful aim and adequate cover, becomes a razorblade in the night.	SMGHeavyW
TheManacle		Seaport	12	Anti-Tank Sticky Bomb	TRUE	10	120	An adherable grenade designed to penetrate heavy tank armor. The Sticky Bomb can only be thrown a short distance and is ineffective against structures.	StickyBomb
TheManacle		Seaport	11	Caoivish Parka	TRUE	15	165	Born and bred in the northern cold, this heavy parka protects Warden infantry from all but the worst blizzards.	SnowUniformW
TheManacle		Seaport	11	Buckshot	TRUE	40	440	Standard ammunition for Shotguns.	ShotgunAmmo
TheManacle		Seaport	10	A3 Harpa Fragmentation Grenade	TRUE	20	200	This anti-personnel fragmentation grenade is designed with pull-pin mechanics and a timed fuse for user safety. Serrations in the casing allow for a better grip and increased fragmentation effectiveness.	GrenadeW
TheManacle		Seaport	10	Buckhorn CCQ-18	TRUE	20	200	Attached to the barrel of a rifle, this short blade can spear enemies in close quarters encounters.	Bayonet
TheManacle		Seaport	9	Physician’s Jacket	TRUE	15	135	Physicians in the Warden army are unmatched and this uniform has a plethora of pockets and bags designed to carry and deploy first aid gear easily.	MedicUniformW
TheManacle		Seaport	9	Cremari Mortar	TRUE	5	45	This short-range cannon is designed to bombard enemy infantry with indirect fire.	Mortar
TheManacle		Seaport	8	Tripod	TRUE	5	40	A mount point for deployable infantry weapons and equipment.	Tripod
TheManacle		Seaport	8	Blood Plasma	TRUE	50	400	A blood component used to treat wounded soldiers on the battlefield.	BloodPlasma
TheManacle		Seaport	7	The Hangman 757	TRUE	20	140	The weapon of choice for pirates and smugglers, its legend is well-earned. With incredibly high stopping power and unique revolver mechanism, the Hangman often plays judge, jury, and executioner.	RifleHeavyW
TheManacle		Seaport	6	Alligator Charge	TRUE	10	60	This heavy-duty explosive device is designed to deal significant damage to fortified structures and stationary vehicles.	SatchelChargeW
TheManacle		Seaport	6	Binoculars	TRUE	5	30	An optical instrument used for viewing distant objects.	Binoculars
TheManacle		Seaport	6	Trauma Kit	TRUE	10	60	Used by medics to revive wounded soldiers.	TraumaKit
TheManacle		Seaport	6	Malone Ratcatcher MK.1	TRUE	5	30	Early iterations of this machinegun were built to be emplaced in bunkers and on the decks of lightly armed warships, the Ratcatcher is Harvey Malone’s first freely mountable infantry weapon designed for field use. Just like its predecessors, this heavy weapon suppresses enemy soldiers with unmatched efficiency.	MGTW
TheManacle		Seaport	6	0.44	TRUE	40	240	Standard ammunition for revolvers.	RevolverAmmo
TheManacle		Seaport	6	150mm	TRUE	5	30	Payload for heavy artillery weapons.	HeavyArtilleryAmmo
TheManacle		Seaport	5	Cutler Launcher 4	TRUE	5	25	The Cutler Launcher is capable of firing an unguided, rocket-propelled grenade over short distances with startling efficiency. Its simple design allows for easy deployment and storage.	RpgW
TheManacle		Seaport	5	Gas Mask	TRUE	20	100	Protects against poison gas	GasMask
